"Sample_Number","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Candidatus_Korarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Crenarchaeota"
"s16343",110,4,1,0,1,0,36,15,79,0,0,4,1,9,9566,39,0,0,0,0,0,0,0,8,16,1,437,0,168,75,112,3,1,49,95,0,0,144,10,0,598,0,1,33,6,244,2318,9,26,0,1,104,0,88,1,1,0,1,1,0,0,0,1,68999,0,0,0,21,186,0,2,3,0,42,0,0,1,201,71,16,0,2,125,9,311,0,0,119,74,4,0,2,9,87,14075,3,1,0,0,0,0,0
"s16318",38,3,0,0,3,0,22,10,12,4,0,1,0,3,4697,4,0,0,0,0,0,0,1,3,4,0,206,0,174,44,57,0,0,24,43,1,2,59,0,1,289,0,1,20,0,130,931,2,16,0,3,65,1,35,1,0,0,0,0,0,1,0,2,71674,0,0,0,17,64,0,0,0,0,19,1,0,0,110,36,2,0,1,54,4,163,0,1,53,36,2,0,2,11,37,6013,3,0,1,0,0,0,0
"s16386",0,0,0,0,0,0,1,0,0,0,1,0,0,0,139,0,0,0,1,0,0,2,0,0,0,0,1,0,2,8,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,7,3,0,0,0,0,0,57,0,0,0,0,0,0,0,2,0,1,33,0,0,0,0,2,0,0,0,0,4,4,0,0,1,2,0,0,0,0,0,4,0,0,1,1,0,0,0,0,3,86,0,0,0,0,0,0,0
"s16383",1,0,0,0,0,0,5,0,1,0,0,0,0,0,186,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,0,1,0,1,2,0,0,16,0,1,6,0,0,0,0,6,12,2,1,0,0,1,28,0,0,0,0,0,0,0,0,0,0,79,0,0,0,2,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,92,0,0,0,0,0,0,0
"s16370",3,0,0,0,0,0,8,0,1,0,0,0,0,0,478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,29,1,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,46,0,0,0,2,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,12,0,0,1,2,0,0,1,0,6,175,0,0,0,0,0,0,0
"s16382",1,1,0,0,0,0,9,1,1,1,0,0,0,0,378,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,6,0,0,8,0,0,5,0,0,0,0,11,18,1,0,0,0,2,117,0,0,0,0,0,0,0,2,0,0,129,0,0,0,1,3,0,0,0,0,5,1,0,0,2,2,0,0,0,1,0,9,0,0,3,1,0,0,0,0,11,177,3,0,0,0,0,0,0
"s16378",0,0,0,0,0,0,3,0,2,0,0,0,0,0,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,4,16,1,2,0,0,5,23,0,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,4,0,0,1,1,0,0,0,0,4,73,1,0,0,0,0,0,0
"s15951",4,0,0,0,0,0,2,0,3,0,0,0,0,0,168,0,0,0,1,0,0,2,0,0,0,0,6,0,0,3,1,1,0,0,1,0,0,3,0,0,5,0,1,0,0,3,4,14,1,0,0,0,82,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,5,0,0,0,0,28,0,0,0,2,3,0,0,0,1,0,3,0,0,1,1,0,0,0,0,4,51,1,0,0,0,0,0,0
"s15909",3,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,0,0,3,6,0,0,5,0,0,14,0,0,2,1,10,111,4,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,2636,0,0,0,3,13,0,0,1,0,6,0,0,0,4,8,0,0,1,3,1,27,0,0,10,1,0,0,0,0,5,635,0,0,0,0,0,0,0
"s16001",0,0,0,0,0,0,8,1,0,0,0,0,0,0,488,0,0,0,2,0,0,0,0,0,0,0,1,0,0,12,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,8,19,0,0,0,0,0,67,0,0,1,0,0,0,0,5,0,0,52,0,0,0,1,0,0,0,0,0,32,0,0,0,2,1,0,0,0,0,1,7,0,0,0,2,0,0,0,1,3,134,1,0,0,0,0,0,0
"s15981",3,1,0,0,0,0,6,0,9,1,0,0,0,0,164,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,3,8,41,3,0,0,2,37,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,118,0,0,0,2,1,0,0,0,0,0,6,0,0,0,5,0,1,0,1,3,60,0,0,0,0,0,0,0
"s15985",3,0,0,0,0,0,2,0,0,1,0,0,0,0,153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,7,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,78,2,0,0,1,0,0,0
"s16006",0,0,0,0,0,0,3,0,1,0,1,0,0,0,187,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,1,0,0,2,0,0,16,0,4,3,0,2,0,0,3,7,0,3,0,0,1,57,0,0,0,0,0,0,0,1,0,0,81,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,8,0,0,1,1,0,0,0,0,1,81,0,0,0,0,0,0,0
"s15940",3,0,0,0,0,0,0,0,0,1,0,0,0,0,187,0,0,0,1,0,0,0,0,0,0,0,6,1,1,6,2,0,0,0,1,0,0,8,1,1,7,0,0,0,0,5,6,1,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,2,0,0,0,0,1,1,0,0,3,1,0,0,2,0,0,8,0,0,1,3,0,0,0,0,4,88,0,0,0,0,0,0,0
"s15872",16,4,0,0,0,0,8,5,34,1,0,1,0,0,1109,0,0,1,0,0,0,0,0,0,1,0,116,0,37,20,16,0,0,11,24,0,0,23,2,0,85,0,0,4,0,18,470,4,9,0,0,63,0,13,0,0,0,0,1,0,0,0,0,15011,0,0,0,6,31,0,2,0,0,46,0,1,0,34,5,2,0,1,44,3,17,0,0,36,30,0,0,0,3,20,2111,3,0,0,0,0,0,0
"s16011",5,0,0,0,0,0,6,0,1,2,0,0,0,0,192,0,0,0,0,0,0,0,0,2,0,0,2,0,2,8,0,141,0,0,5,0,0,2,0,2,1,0,0,0,0,2,7,5,0,0,0,0,56,0,0,1,0,0,0,0,3,0,0,74,0,0,0,2,1,0,0,0,0,6,0,0,0,2,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,7,78,0,0,0,0,0,0,0
"s16010",3,0,0,0,0,0,8,0,1,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,1,0,0,1,0,0,6,0,0,1,0,0,0,0,4,10,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,6,57,0,0,0,0,0,0,0
"s15980",2,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,7,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,63,1,0,0,0,0,0,0
"s15983",0,0,0,0,0,0,10,0,4,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,4,13,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,67,0,0,0,0,1,0,0
"s16008",3,0,0,0,0,0,2,0,1,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,35,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,80,0,0,0,3,0,0,0,0,0,80,0,0,0,1,2,0,0,0,0,1,4,0,0,0,4,0,0,0,0,6,107,0,0,0,1,0,0,0
"s16014",1,0,0,0,0,0,3,1,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,2,0,0,1,0,0,4,0,0,3,0,1,1,0,10,6,0,1,0,0,3,26,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,7,159,1,0,0,0,0,0,0
"s15949",1,0,0,0,0,0,7,0,2,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,2,0,0,0,15,0,2,0,0,0,0,0,3,12,12,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,81,0,0,0,1,0,0,0,0,0,35,0,0,0,0,1,1,0,0,0,0,7,0,0,0,4,0,0,0,1,2,101,1,0,0,0,0,0,0
"s15995",1,0,0,0,0,0,5,0,0,0,0,0,0,0,170,0,0,0,2,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,8,0,0,4,0,0,0,0,3,4,2,0,0,0,0,47,0,0,0,0,0,0,0,1,0,0,28,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,76,0,0,0,0,0,0,0
