"Sample_Number","Phycodnaviridae","Siphoviridae","Herpesviridae","Siphoviridae","Poxviridae","Papillomaviridae","Siphoviridae","Bornaviridae","Bicaudaviridae","Picornaviridae","Herpesviridae","Herpesviridae","Baculoviridae","Papillomaviridae","Myoviridae","Virgaviridae","Herpesviridae","Alloherpesviridae","Inoviridae","Marseilleviridae","Coronaviridae","Anelloviridae","Ascoviridae","Tymoviridae","k__Viruses","Myoviridae","Circoviridae","Rhabdoviridae","Picornaviridae","k__Viruses","Picornaviridae","Poxviridae","Tymoviridae","Arenaviridae","Totiviridae","Flaviviridae","Poxviridae","Anelloviridae","Gammaflexiviridae","k__Viruses","Hepeviridae","Virgaviridae","Caulimoviridae","Polydnaviridae","Herpesviridae","Papillomaviridae","Togaviridae","Betaflexiviridae","Podoviridae","Alphaflexiviridae","Phycodnaviridae","Lipothrixviridae","Papillomaviridae","Retroviridae","Siphoviridae","Poxviridae","Poxviridae","k__Viruses","Potyviridae","Podoviridae","Picornaviridae","Secoviridae","Siphoviridae","Coronaviridae","Baculoviridae","Papillomaviridae","Siphoviridae","Myoviridae","Papillomaviridae","Papillomaviridae","Coronaviridae","Luteoviridae","Phycodnaviridae","Hypoviridae","Anelloviridae","Dicistroviridae","k__Viruses","Phycodnaviridae","Picornaviridae","Virgaviridae","Siphoviridae","Baculoviridae","Arenaviridae","Marnaviridae","Myoviridae","Myoviridae","Partitiviridae","Reoviridae","Betaflexiviridae","Coronaviridae","Paramyxoviridae","Herpesviridae","Bromoviridae","Bunyaviridae","Closteroviridae","Myoviridae","Siphoviridae","Fuselloviridae","Bunyaviridae","Picornaviridae","Bunyaviridae","Mimiviridae","Poxviridae","Potyviridae","Herpesviridae","Picornaviridae","Podoviridae","Retroviridae","Secoviridae","Polydnaviridae","Herpesviridae","Luteoviridae","Flaviviridae","Poxviridae","Geminiviridae","Alloherpesviridae","Nyamiviridae","Potyviridae","Retroviridae","Microviridae","Siphoviridae","Iridoviridae","Picornaviridae","Iridoviridae","Alphaflexiviridae","Myoviridae","Caliciviridae","Poxviridae","k__Viruses","Paramyxoviridae","Chrysoviridae","Myoviridae","k__Viruses","Astroviridae","Secoviridae","Rudiviridae","Herpesviridae","Polyomaviridae","Alloherpesviridae","Picornaviridae","Secoviridae","Myoviridae","Poxviridae","Adenoviridae","Herpesviridae","Picornaviridae","Podoviridae","Herpesviridae","Adenoviridae","Lipothrixviridae","Iridoviridae","Closteroviridae","Siphoviridae","Siphoviridae","Orthomyxoviridae","Poxviridae","Papillomaviridae","Phycodnaviridae","Bunyaviridae","Picornaviridae","Siphoviridae","Dicistroviridae","Siphoviridae","Hytrosaviridae","Herpesviridae","Bromoviridae","Closteroviridae","Papillomaviridae","Papillomaviridae","Partitiviridae","Mimiviridae","Malacoherpesviridae","k__Viruses","Alphaflexiviridae","Siphoviridae","Retroviridae","Circoviridae","Betaflexiviridae","Secoviridae","Iflaviridae","Iridoviridae","Flaviviridae","Astroviridae","Virgaviridae","Roniviridae","k__Viruses","Bromoviridae","Herpesviridae","Nimaviridae","Hytrosaviridae","Virgaviridae","Siphoviridae","Myoviridae","Tymoviridae","Myoviridae","Myoviridae","Myoviridae","Papillomaviridae","Picornaviridae","Myoviridae","Siphoviridae","Endornaviridae","Reoviridae","Adenoviridae","Orthomyxoviridae","Alphaflexiviridae","Poxviridae","Podoviridae","Parvoviridae","Myoviridae","Baculoviridae","Siphoviridae","Picornaviridae","Ampullaviridae","Tectiviridae","Caulimoviridae","Anelloviridae","Papillomaviridae","Parvoviridae","Rhabdoviridae","Poxviridae","Anelloviridae","Turriviridae","Caulimoviridae","Siphoviridae","Myoviridae","Globuloviridae","Reoviridae","Reoviridae","Benyviridae","Parvoviridae","Asfarviridae","Luteoviridae","Paramyxoviridae","Filoviridae","Fuselloviridae","Picornaviridae","Bromoviridae","Podoviridae","Coronaviridae","Inoviridae","Secoviridae","Paramyxoviridae","k__Viruses","Siphoviridae","Alphaflexiviridae","Togaviridae","Betaflexiviridae","Siphoviridae","Sphaerolipoviridae","Myoviridae","Parvoviridae","Papillomaviridae","Siphoviridae","Siphoviridae","Caulimoviridae","Caulimoviridae","Sphaerolipoviridae","Siphoviridae","Myoviridae","Flaviviridae","Adenoviridae","Parvoviridae","Anelloviridae","Myoviridae","Siphoviridae","Retroviridae","Paramyxoviridae","Reoviridae","Lipothrixviridae","Reoviridae","Rhabdoviridae","Rhabdoviridae","Hepadnaviridae","Parvoviridae","Alphaflexiviridae","Picornaviridae","Mesoniviridae","Siphoviridae","Tombusviridae","Parvoviridae","k__Viruses","Secoviridae","Filoviridae","Geminiviridae","k__Viruses","Picornaviridae","Leviviridae","Picornaviridae","Retroviridae","Paramyxoviridae","Parvoviridae","Podoviridae","Reoviridae","Bromoviridae","Nanoviridae","Totiviridae","Nanoviridae","Papillomaviridae","Caulimoviridae","Tombusviridae","Totiviridae","Siphoviridae","Parvoviridae","Siphoviridae","Siphoviridae","Siphoviridae","Tombusviridae","Papillomaviridae","Orthomyxoviridae","Podoviridae","Podoviridae","Anelloviridae","Barnaviridae","Parvoviridae","Narnaviridae","Siphoviridae","Arteriviridae","Rhabdoviridae","Potyviridae","Geminiviridae","Picornaviridae","Siphoviridae","Myoviridae","k__Viruses","Megabirnaviridae","Corticoviridae","Bunyaviridae","Caulimoviridae","Retroviridae","Reoviridae","Myoviridae","k__Viruses","Narnaviridae","Reoviridae","Totiviridae","Siphoviridae","Potyviridae","Papillomaviridae","Reoviridae","Anelloviridae","Potyviridae","Iridoviridae","Rhabdoviridae","Rhabdoviridae","Closteroviridae","Papillomaviridae","Betaflexiviridae","k__Viruses","Hepadnaviridae","Siphoviridae","Podoviridae","Siphoviridae","Caliciviridae","Leviviridae","Microviridae","Siphoviridae","Picornaviridae","Plasmaviridae","Siphoviridae","Microviridae","Papillomaviridae","Siphoviridae"
"s15687",0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,2,0,8,0,0,2,0,0,0,0,4,0,0,0,0,4,2,4,0,0,12,0,0,0,0,0,0,0,140,0,0,2,0,0,6,0,0,0,10,0,0,2,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,12,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,30,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,2,18,2,0,0,0,0,0,6,0,4,0,2,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,10,20,0,0,0,4,0,0,0,0,0,0,2,16,10,0,0,0,0,0,82,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16244",0,0,26,0,0,0,0,0,0,0,0,6,0,0,2,2,12,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,212,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,2,0,4,0,4,0,0,0,0,0,0,0,0,12,0,22,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,0,26,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,2,0,2,0,0,0,0,8,0,0,0,0,0,14,0,0,0,6,0,8,6,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16299",0,0,28,0,0,0,0,0,0,0,0,14,0,2,0,6,2,0,0,0,6,0,0,0,0,8,0,0,0,0,6,6,2,0,0,6,0,0,0,0,0,0,0,124,0,0,16,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,20,0,28,0,0,0,6,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,0,22,0,0,4,0,0,6,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,20,0,0,0,0,0,2,8,4,2,0,0,0,0,0,0,0,0,0,0,12,0,2,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,10,0,0,2,0,0,12,6,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16297",0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,6,8,4,0,0,6,0,0,0,0,8,0,0,0,0,6,0,2,0,0,6,0,2,0,0,0,0,0,148,4,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,22,0,26,0,0,0,8,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,44,0,0,4,0,0,14,0,0,0,6,0,0,0,0,0,0,2,0,0,4,0,0,2,4,0,0,0,22,2,0,0,0,0,2,6,4,2,4,4,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,6,0,0,0,2,20,0,0,0,2,0,10,0,0,0,6,0,10,6,0,0,0,0,16,72,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16234",0,0,26,0,0,0,0,0,0,4,0,4,0,0,0,4,6,0,0,0,6,0,2,0,0,8,0,0,0,0,2,8,2,0,0,6,0,4,0,0,0,0,0,224,0,0,8,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,2,0,0,4,4,0,0,0,0,0,6,0,2,0,0,0,2,28,0,26,4,0,0,14,0,0,0,0,0,0,6,8,0,0,0,0,2,0,0,0,46,0,0,0,0,0,38,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,8,12,2,2,0,0,0,0,18,2,10,2,0,0,0,0,0,0,0,4,0,44,0,4,0,0,4,0,6,0,0,0,30,20,0,0,0,2,0,2,0,0,2,2,0,14,8,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16185",4,0,80,0,0,0,0,0,0,2,0,42,0,0,2,30,22,16,0,0,0,0,0,0,0,24,0,0,2,0,20,18,8,0,0,24,0,0,0,2,0,0,0,218,20,0,28,0,0,4,24,0,0,0,0,2,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,6,4,0,0,0,10,0,16,0,26,0,0,0,0,60,0,224,0,0,0,14,0,2,0,0,0,0,4,32,0,0,6,2,6,0,0,4,206,2,0,0,4,0,120,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,4,8,0,0,6,44,2,2,14,0,0,0,8,12,12,84,6,0,0,0,0,0,2,6,0,30,0,2,0,0,0,2,16,0,2,2,0,46,0,0,0,2,0,0,34,0,2,4,6,38,14,0,0,2,0,0,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16276",0,0,34,0,0,0,0,0,0,2,0,6,0,0,0,8,0,0,0,0,6,0,0,0,0,8,0,0,0,0,12,2,2,0,0,0,0,0,0,0,2,0,0,100,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,2,0,0,0,14,0,20,0,0,0,2,0,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,36,0,0,2,0,0,10,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,14,0,0,0,2,0,0,6,2,2,2,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,6,0,0,0,12,26,0,0,0,0,0,2,0,0,0,4,2,8,14,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16281",0,0,20,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,2,0,4,0,0,12,0,0,2,0,8,4,0,0,0,8,0,0,0,0,0,0,0,82,0,0,2,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,18,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,78,2,0,0,0,0,18,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,16,0,0,2,0,0,0,6,0,6,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,8,0,10,2,0,0,2,0,4,16,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16291",0,0,46,0,0,0,0,0,0,2,0,4,0,0,0,20,0,6,0,0,2,0,0,0,0,26,0,0,2,0,20,2,4,0,0,22,0,2,0,0,0,0,0,70,2,0,54,0,0,26,0,0,0,0,0,0,0,4,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,84,0,154,0,0,0,12,0,0,0,0,0,0,4,16,0,0,8,2,4,0,0,0,66,0,0,2,0,0,14,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,6,10,0,0,0,18,0,2,2,0,0,0,4,14,6,4,0,0,0,0,0,0,0,8,0,12,0,2,0,0,0,0,4,0,0,2,84,38,0,0,0,12,0,0,2,0,0,8,2,26,26,0,0,0,0,22,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16298",4,0,22,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,0,2,0,0,10,0,0,0,0,10,4,6,0,0,16,0,0,0,0,0,0,0,230,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,2,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,32,4,0,22,0,0,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,4,0,4,2,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,4,0,0,0,14,22,0,0,0,0,0,16,2,0,0,2,0,6,6,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16211",0,0,52,0,0,0,0,0,0,0,0,4,0,2,0,2,2,4,0,0,0,0,8,0,0,8,0,0,0,0,12,8,0,0,0,6,0,0,0,0,0,0,0,254,0,0,8,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,4,22,0,4,0,0,6,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,46,0,16,0,0,0,10,0,0,0,0,0,0,0,16,0,0,2,0,2,0,0,0,70,0,0,0,0,0,22,0,0,4,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,12,4,4,2,2,0,4,0,0,0,0,0,0,46,0,2,0,0,8,0,10,0,0,0,24,32,0,2,0,2,0,8,2,0,0,0,2,12,18,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15504",16,0,414,0,2,0,0,0,0,8,2,500,14,0,22,190,196,512,0,0,40,6,38,2,0,180,2,0,8,0,96,172,88,0,0,236,2,46,0,2,10,4,2,4214,132,0,200,0,0,28,356,2,0,2,0,42,14,6,0,4,2,0,0,22,376,0,0,0,0,0,0,0,74,38,0,4,0,486,6,128,0,158,2,0,0,0,620,0,850,6,0,4,122,2,12,0,0,0,0,66,286,0,0,60,42,70,0,0,6,1340,4,0,2,20,0,1144,6,0,0,78,0,0,0,2,0,0,2,48,0,0,62,0,12,72,0,0,68,146,16,16,100,0,12,48,94,70,150,414,134,0,20,2,0,0,6,24,0,376,0,32,8,2,0,10,120,0,0,10,84,398,4,2,0,26,2,10,1108,0,50,48,82,242,112,0,0,8,8,12,14,66,40,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15562",0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,8,10,0,0,0,0,6,0,0,16,0,0,0,0,8,4,0,0,0,6,0,0,0,0,0,0,0,100,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,20,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,44,0,0,6,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,10,2,6,4,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,6,0,0,0,20,20,0,0,0,2,0,6,2,0,0,2,0,8,6,0,0,0,0,12,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15583",0,0,36,0,0,0,0,0,0,0,0,0,0,10,0,2,14,0,0,0,4,0,0,0,0,12,0,0,0,0,20,6,4,0,0,24,0,0,0,0,0,0,0,102,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,30,0,86,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,4,2,0,0,0,76,0,0,0,4,0,26,0,0,2,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,2,0,6,6,8,6,0,0,0,0,0,0,0,2,0,10,0,10,0,0,0,0,0,0,0,0,16,22,0,0,0,2,0,8,0,0,2,2,2,22,26,0,0,0,0,0,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15588",0,0,6,0,0,0,0,0,0,0,0,6,2,0,0,4,2,0,0,0,0,0,2,0,0,2,0,0,2,0,6,8,0,0,0,6,0,0,0,0,0,0,0,68,0,0,4,0,0,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,16,0,26,0,0,0,6,0,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,16,2,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,2,0,0,0,4,0,4,2,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,2,0,0,0,0,0,0,4,8,12,0,0,0,0,0,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
